"","id","time","t_end","trial"
"1","AG",1,51,1
"2","AM",52,51,1
"3","Amazon",15,51,1
"4","aries",10,51,1
"5","asterisk",39,51,1
"6","backwards_C",1,51,1
"7","barnacle",25,51,1
"8","bathtub",52,51,1
"9","battery",28,51,1
"10","bobby_pin",52,51,1
"11","boomerang",1,51,1
"12","bowtie",1,51,1
"13","bucket",1,51,1
"14","butch",52,51,1
"15","California",40,51,1
"16","candy_corn",52,51,1
"17","Capital_K",15,51,1
"18","Capital_M",44,51,1
"19","Capital_U",52,51,1
"20","Capital_Z",13,51,1
"21","CO2",52,51,1
"22","corporal",52,51,1
"23","cyclops",3,51,1
"24","deviled_egg",52,51,1
"25","DO",52,51,1
"26","dog_bone",52,51,1
"27","Dracula",51,51,1
"28","Eiffel_Tower",52,51,1
"29","eighth_note",52,51,1
"30","escape_arrow",52,51,1
"31","euro",52,51,1
"32","fishbone",52,51,1
"33","Flash",1,51,1
"34","half_note",1,51,1
"35","heart",52,51,1
"36","insect",1,51,1
"37","key_hole",52,51,1
"38","LA",17,51,1
"39","ladder",43,51,1
"40","leo",52,51,1
"41","libra",1,51,1
"42","line_over_blot",16,51,1
"43","Luigi",52,51,1
"44","merge_sign",1,51,1
"45","molecule",52,51,1
"46","mountain",52,51,1
"47","nail_polish",52,51,1
"48","necktie",37,51,1
"49","opera",13,51,1
"50","parachute",52,51,1
"51","recycling",52,51,1
"52","saturn",52,51,1
"53","SD",7,51,1
"54","seventy_six",29,51,1
"55","six",52,51,1
"56","smiley",52,51,1
"57","snake_head",10,51,1
"58","soda",52,51,1
"59","tidal_wave",52,51,1
