"","age","sex","colony","date","mark","Microtus californicus","Thomomys bottae","Reithrodontomys megalotis","Mus musculus","Peromyscus truei"
"1","A","F","Crow",2024-06-03,"seventy_six",0,0,0,0,0
"2","A","M","Crow",2024-06-03,"California",0,0,0,0,0
"3","A","F","Crow",2024-06-03,"Dracula",0,0,0,0,0
"4","P","M","Crow",2024-06-03,"cancer",1642,0,0,0,0
"5","A","F","Crow",2024-06-04,"AG",861,0,0,0,0
"6","A","F","Crow",2024-06-04,"AM",0,0,0,0,0
"7","A","M","Crow",2024-06-04,"boomerang",412,0,0,0,0
"8","A","M","Crow",2024-06-04,"lightning_bolt",0,0,0,0,0
"9","A","M","Crow",2024-06-04,"backwards_C",494.5,0,0,0,0
"10","A","F","Crow",2024-06-04,"battery",0,0,0,0,0
"11","A","F","Crow",2024-06-04,"Aries",0,0,0,0,0
"12","A","M","Crow",2024-06-04,"barnacle",0,0,0,0,0
"13","A","F","Crow",2024-06-04,"escape_arrow",0,0,0,0,0
"14","A","F","Crow",2024-06-04,"asterisk",0,0,0,0,0
"15","P","F","Crow",2024-06-04,"candy_corn",0,0,0,0,0
"16","A","F","Crow",2024-06-05,"snake_head",0,0,0,0,0
"17","A","F","Crow",2024-06-05,"recycling",0,0,0,0,0
"18","P","M","Crow",2024-06-05,"bean",0,0,0,0,0
"19","A","M","Crow",2024-06-05,"fishbone",0,0,0,0,0
"20","P","F","Crow",2024-06-05,"Capital_M",0,0,0,0,0
"21","A","M","Crow",2024-06-05,"euro",0,0,0,0,0
"22","A","F","Crow",2024-06-05,"hermit_crab",0,0,0,0,0
"23","A","F","Crow",2024-06-05,"smiley",0,0,0,0,0
"24","A","M","Crow",2024-06-05,"bathtub",0,2405,0,0,0
"25","A","M","Crow",2024-06-05,"necktie",0,0,0,0,0
"26","A","F","Crow",2024-06-11,"AG",183,0,0,0,0
"27","A","M","Crow",2024-06-11,"merge_sign",0,0,0,0,0
"28","A","F","Crow",2024-06-11,"AM",0,0,0,0,0
"29","P","F","Crow",2024-06-11,"Capital_U",0,0,0,0,0
"30","P","M","Crow",2024-06-11,"Capital_K",0,579,0,0,0
"31","A","F","Crow",2024-06-11,"smiley",0,286392,0,0,0
"32","A","F","Crow",2024-06-11,"asterisk",0,0,0,0,0
"33","A","M","Crow",2024-06-11,"fishbone",0,0,0,0,0
"34","A","F","Crow",2024-06-11,"DO",0,0,0,0,0
"35","A","M","Crow",2024-06-11,"bathtub",0,0,0,0,0
"36","A","F","Crow",2024-06-11,"battery",0,1089,0,0,0
"37","A","F","Crow",2024-06-11,"Dracula",0,0,0,0,0
"38","A","M","Crow",2024-06-11,"barnacle",0,0,0,0,0
"39","A","F","Crow",2024-06-11,"escape_arrow",0,0,0,0,0
"40","A","F","Crow",2024-06-11,"snake_head",0,46280,0,0,0
"41","A","F","Crow",2024-06-11,"Amazon",0,0,0,0,0
"42","P","F","Crow",2024-06-12,"cyclops",0,1733,0,0,0
"43","P","F","Crow",2024-06-12,"Capital_M",0,0,0,0,0
"44","A","M","Crow",2024-06-12,"saturn",0,0,0,0,0
"45","A","M","Crow",2024-06-12,"boomerang",0,0,0,0,0
"46","A","M","Crow",2024-06-12,"backwards_C",0,0,0,0,0
"47","A","M","Crow",2024-06-12,"ladder",0,0,0,0,0
"48","P","M","Paradise",2024-06-18,"DG",0,0,21796,0,0
"49","A","F","Paradise",2024-06-18,"ET",0,1446,0,0,0
"50","A","F","Paradise",2024-06-18,"hermit_crab",0,0,0,0,0
"51","A","F","Paradise",2024-06-18,"NO",0,0,0,0,0
"52","P","F","Paradise",2024-06-20,"dilemma",169,0,0,0,0
"53","P","M","Paradise",2024-06-20,"ear",555,0,0,0,0
"54","P","M","Paradise",2024-06-20,"Capital_Y",3010,0,0,0,0
"55","P","M","Crow",2024-06-25,"Eiffel_Tower",0,0,0,0,0
"56","A","F","Crow",2024-06-25,"battery",0,0,0,0,0
"57","P","M","Crow",2024-06-25,"fifty_five",0,0,0,0,0
"58","P","F","Crow",2024-06-25,"key_hole",0,0,0,0,0
"59","A","F","Crow",2024-06-25,"AM",0,0,0,0,0
"60","A","F","Crow",2024-06-25,"LA",0,0,0,0,0
"61","P","M","Crow",2024-06-25,"Capital_K",3510,0,0,0,0
"62","P","F","Crow",2024-06-25,"cyclops",6973,0,0,0,0
"63","A","M","Crow",2024-06-25,"backwards_C",10010,0,0,0,0
"64","A","F","Crow",2024-06-25,"Amazon",822,0,0,0,0
"65","P","M","Crow",2024-06-25,"flea_comb",0,0,0,0,0
"66","A","F","Crow",2024-06-25,"hermit_crab",673,1797,0,0,0
"67","P","M","Crow",2024-06-25,"Capital_Y",5223,0,0,0,0
"68","P","F","Crow",2024-06-25,"Capital_M",0,0,0,0,0
"69","P","F","Crow",2024-06-25,"Capital_U",0,0,0,0,0
"70","P","F","Crow",2024-06-25,"opera",0,0,0,0,548
"71","A","F","Crow",2024-06-25,"Aries",0,0,0,0,0
"72","A","F","Crow",2024-06-25,"escape_arrow",0,0,0,0,0
"73","P","F","Crow",2024-06-25,"insect",4411.5,0,0,0,0
"74","P","M","Crow",2024-06-26,"libra",497,0,0,0,0
"75","A","F","Crow",2024-06-26,"seventy_six",0,0,0,12,0
"76","P","F","Crow",2024-06-26,"Capital_Z",0,0,0,0,0
"77","A","F","Crow",2024-06-26,"Flash",160.5,0,0,0,0
"78","P","M","Crow",2024-06-26,"leo",0,0,0,0,0
"79","A","F","Crow",2024-06-26,"DO",0,0,0,0,0
"80","P","F","Crow",2024-06-26,"crochet",0,0,0,0,0
"81","P","M","Crow",2024-06-26,"line_over_blot",0,0,0,0,0
"82","A","F","Crow",2024-06-26,"NO",1546,0,0,0,0
"83","A","M","Paradise",2024-07-09,"mac",5503,0,0,0,0
"84","A","F","Paradise",2024-07-09,"hermit_crab",228,0,0,0,0
"85","A","M","Paradise",2024-07-16,"maxi_pad",0,0,0,0,0
"86","A","M","Paradise",2024-07-16,"donut",0,0,0,0,0
"87","A","F","Paradise",2024-07-16,"hermit_crab",0,0,0,0,0
"88","A","F","Crow",2024-07-18,"Aries",0,0,0,0,0
"89","P","F","Crow",2024-07-18,"cyclops",0,1845,0,0,0
"90","P","F","Crow",2024-07-18,"Capital_M",304,2788,0,0,0
"91","A","F","Crow",2024-07-18,"Dracula",0,0,0,0,0
"92","P","F","Crow",2024-07-18,"SD",0,0,0,0,0
"93","P","F","Crow",2024-07-18,"key_hole",0,0,0,0,0
"94","P","M","Crow",2024-07-18,"libra",0,0,0,0,0
"95","A","M","Crow",2024-07-18,"barnacle",0,0,0,0,0
"96","P","F","Crow",2024-07-18,"candy_corn",0,0,58,0,0
"97","P","M","Crow",2024-07-18,"Eiffel_Tower",0,0,0,0,0
"98","A","M","Crow",2024-07-18,"fishbone",0,0,0,0,0
"99","A","F","Crow",2024-07-18,"escape_arrow",0,8076,0,0,0
"100","P","M","Crow",2024-07-18,"line_over_blot",2459,0,0,0,0
